Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,10,30,29,224 | 598,0 | 0 | 0,2,24 | 47 | 71,0,740
,,,,56 | 451 | 91,,,,,
Alaska,0,1,0,37 | 68,0 | 0 | 0,0,1 | 2 | 3,0,72
,,,,0 | 63 | 5,,,,,
Arizona,75,30,20,"573 | 1,788",0 | 1 | 1,7,28 | 50 | 78,0,"1,999"
,,,,"3 | 1,412 | 373",,,,,
Arkansas,3,15,50,112 | 350,0 | 0 | 0,1,9 | 27 | 36,0,455
,,,,2 | 296 | 52,,,,,
California,27,322,198,"7,689 | 34,924",43 | 6 | 49,41,86 | 182 | 268,0,"35,829"
,,,,"498 | 28,885 | 5,497",,,,,
Colorado,7,34,88,"1,066 | 3,253",0 | 1 | 1,0,12 | 41 | 53,0,"3,436"
,,,,"76 | 2,742 | 435",,,,,
Connecticut,1,18,3,"456 | 1,240",1 | 1 | 2,0,8 | 11 | 19,0,"1,283"
,,,,70 | 926 | 242,,,,,
Delaware,1,2,1,70 | 206,0 | 1 | 1,0,7 | 2 | 9,0,220
,,,,2 | 131 | 73,,,,,
District of Columbia,7,2,3,189 | 694,0 | 0 | 0,0,0 | 0 | 0,0,706
,,,,50 | 611 | 33,,,,,
Florida,10,56,94,"1,836 | 5,564",0 | 0 | 0,3,24 | 90 | 114,0,"5,841"
,,,,"294 | 4,394 | 876",,,,,
Georgia,6,51,66,"1,008 | 3,661",0 | 0 | 0,4,31 | 58 | 89,0,"3,877"
,,,,"239 | 2,930 | 492",,,,,
Hawaii,7,0,2,320 | 759,1 | 1 | 2,1,0 | 1 | 1,0,772
,,,,14 | 649 | 96,,,,,
Idaho,0,11,5,113 | 281,0 | 0 | 0,0,10 | 17 | 27,0,324
,,,,2 | 196 | 83,,,,,
Illinois,19,38,284,"805 | 2,360",0 | 0 | 0,2,35 | 59 | 94,0,"2,797"
,,,,"38 | 1,919 | 403",,,,,
Indiana,3,32,234,282 | 784,0 | 0 | 0,1,19 | 39 | 58,0,"1,112"
,,,,0 | 613 | 171,,,,,
Iowa,10,12,315,188 | 487,0 | 0 | 0,0,13 | 19 | 32,0,856
,,,,27 | 308 | 152,,,,,
Kansas,1,21,56,246 | 950,0 | 0 | 0,1,3 | 34 | 37,0,"1,066"
,,,,3 | 826 | 121,,,,,
Kentucky,3,9,72,168 | 383,0 | 0 | 0,1,3 | 25 | 28,0,496
,,,,8 | 307 | 68,,,,,
