state,population,year
Alabama,5033094,2020
Alaska,733017,2020
Arizona,7187135,2020
Arkansas,3014546,2020
California,39521958,2020
Colorado,5787129,2020
Connecticut,3579918,2020
Delaware,991928,2020
District of Columbia,670917,2020
Florida,21592035,2020
Georgia,10732888,2020
Hawaii,1451252,2020
Idaho,1849415,2020
Illinois,12799088,2020
Indiana,6790497,2020
Iowa,3191141,2020
Kansas,2938172,2020
Kentucky,4508318,2020
Louisiana,4652301,2020
Maine,1364571,2020
Maryland,6177935,2020
Massachusetts,6994598,2020
Michigan,10072703,2020
Minnesota,5710735,2020
Mississippi,2958536,2020
Missouri,6154744,2020
Montana,1087230,2020
Nebraska,1963387,2020
Nevada,3116967,2020
New Hampshire,1378756,2020
New Jersey,9272794,2020
New Mexico,2118606,2020
New York,20105171,2020
North Carolina,10449652,2020
North Dakota,779563,2020
Ohio,11798905,2020
Oklahoma,3965415,2020
Oregon,4243779,2020
Pennsylvania,12996143,2020
Rhode Island,1096530,2020
South Carolina,5132249,2020
South Dakota,887948,2020
Tennessee,6927904,2020
Texas,29239570,2020
Utah,3284077,2020
Vermont,642977,2020
Virginia,8637615,2020
Washington,7727209,2020
West Virginia,1791646,2020
Wisconsin,5897375,2020
Wyoming,577681,2020
Puerto Rico,3281590,2020
Alabama,5049196,2021
Alaska,734420,2021
Arizona,7274078,2021
Arkansas,3026870,2021
California,39142565,2021
Colorado,5814036,2021
Connecticut,3606607,2021
Delaware,1005062,2021
District of Columbia,669256,2021
Florida,21831949,2021
Georgia,10792060,2021
Hawaii,1447029,2021
Idaho,1904848,2021
Illinois,12700641,2021
Indiana,6815907,2021
Iowa,3198613,2021
Kansas,2938338,2021
Kentucky,4507583,2021
Louisiana,4627971,2021
Maine,1378931,2021
Maryland,6179403,2021
Massachusetts,7000474,2021
Michigan,10041351,2021
Minnesota,5718660,2021
Mississippi,2947209,2021
Missouri,6171374,2021
Montana,1106522,2021
Nebraska,1964537,2021
Nevada,3148141,2021
New Hampshire,1387677,2021
New Jersey,9270541,2021
New Mexico,2117333,2021
New York,19848276,2021
North Carolina,10564320,2021
North Dakota,777966,2021
Ohio,11767344,2021
Oklahoma,3992238,2021
Oregon,4254280,2021
Pennsylvania,13015571,2021
Rhode Island,1097246,2021
South Carolina,5194274,2021
South Dakota,896492,2021
Tennessee,6965740,2021
Texas,29570351,2021
Utah,3339738,2021
Vermont,647210,2021
Virginia,8658910,2021
Washington,7743760,2021
West Virginia,1785618,2021
Wisconsin,5881608,2021
Wyoming,579636,2021
Puerto Rico,3262711,2021
Alabama,5076181,2022
Alaska,734442,2022
Arizona,7377566,2022
Arkansas,3047704,2022
California,39142414,2022
Colorado,5850935,2022
Connecticut,3617925,2022
Delaware,1020625,2022
District of Columbia,676725,2022
Florida,22379312,2022
Georgia,10931805,2022
Hawaii,1440359,2022
Idaho,1944299,2022
Illinois,12621821,2022
Indiana,6844545,2022
Iowa,3202820,2022
Kansas,2937324,2022
Kentucky,4519233,2022
Louisiana,4593687,2022
Maine,1390922,2022
Maryland,6192440,2022
Massachusetts,7022468,2022
Michigan,10050877,2022
Minnesota,5721621,2022
Mississippi,2941939,2022
Missouri,6179414,2022
Montana,1122095,2022
Nebraska,1972246,2022
Nevada,3176116,2022
New Hampshire,1396678,2022
New Jersey,9295227,2022
New Mexico,2113868,2022
New York,19703747,2022
North Carolina,10710793,2022
North Dakota,781057,2022
Ohio,11777874,2022
Oklahoma,4026229,2022
Oregon,4247372,2022
Pennsylvania,12984990,2022
Rhode Island,1099498,2022
South Carolina,5287935,2022
South Dakota,909723,2022
Tennessee,7062217,2022
Texas,30113488,2022
Utah,3391011,2022
Vermont,648142,2022
Virginia,8683414,2022
Washington,7794123,2022
West Virginia,1774122,2022
Wisconsin,5903975,2022
Wyoming,581978,2022
Puerto Rico,3220137,2022
Alabama,5117673,2023
Alaska,736510,2023
Arizona,7473027,2023
Arkansas,3069463,2023
California,39198693,2023
Colorado,5901339,2023
Connecticut,3643023,2023
Delaware,1036423,2023
District of Columbia,687324,2023
Florida,22904868,2023
Georgia,11064432,2023
Hawaii,1441387,2023
Idaho,1971122,2023
Illinois,12642259,2023
Indiana,6880131,2023
Iowa,3218414,2023
Kansas,2951500,2023
Kentucky,4550595,2023
Louisiana,4588071,2023
Maine,1399646,2023
Maryland,6217062,2023
Massachusetts,7066568,2023
Michigan,10083356,2023
Minnesota,5753048,2023
Mississippi,2943172,2023
Missouri,6208038,2023
Montana,1131302,2023
Nebraska,1987864,2023
Nevada,3214363,2023
New Hampshire,1402199,2023
New Jersey,9379642,2023
New Mexico,2121164,2023
New York,19737367,2023
North Carolina,10881189,2023
North Dakota,789047,2023
Ohio,11824034,2023
Oklahoma,4063882,2023
Oregon,4253653,2023
Pennsylvania,13017721,2023
Rhode Island,1103429,2023
South Carolina,5387830,2023
South Dakota,918305,2023
Tennessee,7148304,2023
Texas,30727890,2023
Utah,3443222,2023
Vermont,648708,2023
Virginia,8734685,2023
Washington,7857320,2023
West Virginia,1770495,2023
Wisconsin,5930405,2023
Wyoming,585067,2023
Puerto Rico,3203792,2023
