State,Year,EVs_per_1000_arima
Alabama,2024,3.2772351311323766
Alabama,2025,3.934594328737736
Alabama,2026,4.520904355057696
Alabama,2027,5.043844397907276
Alabama,2028,5.510263657581143
Alaska,2024,4.544150216995652
Alaska,2025,5.362214765055121
Alaska,2026,6.124251087891247
Alaska,2027,6.834096489087376
Alaska,2028,7.49532546006866
Arizona,2024,14.758726153725785
Arizona,2025,17.18624616692565
Arizona,2026,19.335215575664893
Arizona,2027,21.237597222195475
Arizona,2028,22.921686308963643
Arkansas,2024,2.8134006570737404
Arkansas,2025,3.2046555763055937
Arkansas,2026,3.510637419875677
Arkansas,2027,3.7499312510647123
Arkansas,2028,3.937071562976753
California,2024,39.88735294074155
California,2025,46.72079760758793
California,2026,52.684399398359574
California,2027,57.888882357216644
California,2028,62.43087624268176
Colorado,2024,19.917136723166056
Colorado,2025,24.214728006857392
Colorado,2026,28.187118024390433
Colorado,2027,31.858914947303568
Colorado,2028,35.25286483228669
Connecticut,2024,11.032744364630766
Connecticut,2025,13.177954438823416
Connecticut,2026,15.129056248481568
Connecticut,2027,16.903613583191085
Connecticut,2028,18.51760098178977
Delaware,2024,10.646302783909391
Delaware,2025,12.94176056225611
Delaware,2026,15.014992267714009
Delaware,2027,16.887511877990466
Delaware,2028,18.578750576317958
Florida,2024,14.490575781104198
Florida,2025,17.61137649052396
Florida,2026,20.508336420719303
Florida,2027,23.19751064829046
Florida,2028,25.69380269253192
Georgia,2024,10.870704940065405
Georgia,2025,13.095619027228416
Georgia,2026,15.060296503594508
Georgia,2027,16.79517588990918
Georgia,2028,18.327135471706075
Hawaii,2024,21.576050697111658
Hawaii,2025,25.20255013769712
Hawaii,2026,28.6495196509612
Hawaii,2027,31.925846869545808
Hawaii,2028,35.0399794436612
Idaho,2024,5.475813054325876
Idaho,2025,6.5353648758228085
Idaho,2026,7.500215323521877
Idaho,2027,8.378828683942388
Idaho,2028,9.178912716602952
Illinois,2024,10.051699903416653
Illinois,2025,11.883937608600258
Illinois,2026,13.428593511359228
Illinois,2027,14.730805473910797
Illinois,2028,15.828626673042303
Indiana,2024,4.8841141233735375
Indiana,2025,5.869072694434211
Indiana,2026,6.758637761771474
Indiana,2027,7.562048211994362
