State,Year,EVs_per_1000_forecast_panel_acc,Outlets_per_100k_proj
Alabama,2024,7.77093206763292,39.762418137887586
Alabama,2025,15.095909249426027,73.82569676362529
Alabama,2026,28.125763195509897,137.0699710398524
Alabama,2027,51.747691814061284,254.49373029315055
Alabama,2028,95.03560981373045,472.5109246553512
Alaska,2024,7.468145140572534,31.259196015338
Alaska,2025,13.3690129510533,58.03801766030287
Alaska,2026,23.75476546849284,107.75745775050785
Alaska,2027,42.467469763552536,200.070060435484
Alaska,2028,76.64057726568376,371.4641187558044
Arizona,2024,19.53819960834829,87.10641236502268
Arizona,2025,34.792291763560954,161.72787990728324
Arizona,2026,62.54389717862356,300.275334836399
Arizona,2027,113.49926301443213,557.5122654350149
Arizona,2028,207.53635930882015,1035.1164083451233
Arkansas,2024,9.229710149327685,50.38686816137404
Arkansas,2025,18.334057389367608,93.55179649413509
Arkansas,2026,34.66761469410697,173.69483253553742
Arkansas,2027,64.42343088225446,322.494019144141
Arkansas,2028,119.0999551312927,598.765034431655
California,2024,46.43692875126962,234.14244425428328
California,2025,86.31643794442877,434.72529837263755
California,2026,159.78932129125226,807.1415058772349
California,2027,295.63402128501934,1498.5955796649712
California,2028,547.2826144526316,2782.3977518670345
Colorado,2024,29.825365849373753,170.90074839687938
Colorado,2025,59.11323220053581,317.30632639272676
Colorado,2026,112.92092793300661,589.1331999028631
Colorado,2027,212.25386014186483,1093.8260550097323
Colorado,2028,396.1121421808847,2030.8742383138938
Connecticut,2024,23.013260825513782,129.808101533491
Connecticut,2025,45.41898030966757,241.01083359772
Connecticut,2026,86.44879905476363,447.4776321759964
Connecticut,2027,162.05742786533386,830.8183840069942
Connecticut,2028,301.8675028125075,1542.5557336741
Delaware,2024,17.788924714426564,93.69133197938886
Delaware,2025,34.145851253712166,173.9539039125947
Delaware,2026,63.94505640319558,322.9750292491211
Delaware,2027,118.7021396436756,599.6581115585881
Delaware,2028,219.79777134516547,1113.3673448192453
Florida,2024,17.002395480921994,79.13894611701421
Florida,2025,30.922106011630945,146.9349227697136
Florida,2026,56.196204831497376,272.8096921763286
Florida,2027,102.55165800624584,506.51762523458956
Florida,2028,188.04823354867776,940.436179618803
Georgia,2024,15.336931541118615,83.80196082040428
Georgia,2025,30.037598142592177,155.59260320310713
Georgia,2026,56.761674825123954,288.884149422254
Georgia,2027,105.80925868548341,536.3625909547903
Georgia,2028,196.30423304145705,995.8484380367813
Hawaii,2024,24.005482143317657,110.7777696359572
Hawaii,2025,43.224024625168695,205.67778350236395
Hawaii,2026,78.33630681380967,381.8758110536477
Hawaii,2027,142.95802185345275,709.0174377837221
Hawaii,2028,262.36902143232794,1316.411546712949
Idaho,2024,9.921462847535361,48.698076144030985
Idaho,2025,18.74297324015037,90.41626668463385
Idaho,2026,34.551395799332724,167.87318778277583
Idaho,2027,63.33220995538308,311.68514482737993
Idaho,2028,116.19847698827542,578.6965196120043
Illinois,2024,11.643367171839724,51.54863854285968
Illinois,2025,20.942286312241897,95.70882093855126
Illinois,2026,37.63709946578436,177.69971553820017
Illinois,2027,68.06364862231766,329.92976606232594
Illinois,2028,123.98550278468514,612.5707641357525
Indiana,2024,8.85576693169966,41.36949447311765
Indiana,2025,16.44989531716957,76.80950750142455
Indiana,2026,29.97947428192063,142.60992351369154
Indiana,2027,54.52922744990924,264.7795949505829
Indiana,2028,99.53980963964518,491.6083830271732
Iowa,2024,9.017035074329932,49.324077618100254
Iowa,2025,17.943387437768354,91.57854496554616
Iowa,2026,33.94646695969553,170.03115522892114
Iowa,2027,63.088694897339664,315.69177867325004
Iowa,2028,116.62598812772357,586.135517268594
Kansas,2024,11.631989680834128,75.2355601221874
Kansas,2025,24.897965839446556,139.68762232118067
Kansas,2026,48.958295533124705,259.3538454163835
Kansas,2027,93.0601797438256,481.5345555643129
Kansas,2028,174.37262095119885,894.0508587032991
Kentucky,2024,7.28675515966982,34.63971191114151
Kentucky,2025,13.7537876895594,64.3145207784672
Kentucky,2026,25.19072136877822,119.4108540386986
Kentucky,2027,45.855122399786865,221.70657403118437
Kentucky,2028,83.65188706741206,411.6359887411516
Louisiana,2024,6.27598812400755,28.69134262524687
Louisiana,2025,11.746794950042522,53.27036079766152
Louisiana,2026,21.334066054267687,98.90549133856074
Louisiana,2027,38.5642537056229,183.6348782032567
Louisiana,2028,69.98481673710313,340.949405703803
Maine,2024,21.929486201996063,143.79568082299278
Maine,2025,46.67782857204727,266.98115520901985
Maine,2026,92.05712541493035,495.69595434847946
