State,Year,EVs_per_1000_forecast_panel_baseline,Outlets_per_100k_proj
Alabama,2024,7.352250170928202,37.62081979817342
Alabama,2025,13.58306903885009,66.08737297001917
Alabama,2026,24.02491150621639,116.09371857150427
Alabama,2027,41.86413363449979,203.93837560881525
Alabama,2028,72.69811215763448,358.2524666943597
Alaska,2024,7.138998672875799,29.57558004271033
Alaska,2025,12.179694723014798,51.954540054498025
Alaska,2026,20.53088390422473,91.26699217315084
Alaska,2027,34.697517710019724,160.32600522681028
Alaska,2028,59.07996977690713,281.6399153729205
Arizona,2024,18.621004939310275,82.41487304635034
Arizona,2025,31.4781552146258,144.77575136614593
Arizona,2026,53.56027658853091,254.32324784197792
Arizona,2027,91.84762977026965,446.7620701847509
Arizona,2028,158.60223072319906,784.8136143644332
Arkansas,2024,8.699157166919575,47.6730384133041
Arkansas,2025,16.41698886563811,83.74580583666726
Arkansas,2026,29.471022457155133,147.1137613346574
Arkansas,2027,51.89900288514745,258.4303602766767
Arkansas,2028,90.79391635996704,453.97691219930255
California,2024,43.971505186749205,221.53156460071932
California,2025,77.40802338467905,389.15789748713723
California,2026,135.64130708533105,683.6220808965363
California,2027,237.43432975552213,1200.8985363190716
California,2028,415.7474477133864,2109.582669772707
Colorado,2024,28.025851311829022,161.6960577326081
Colorado,2025,52.61097362823924,284.046645779778
Colorado,2026,95.29527397165776,498.97627753030866
Colorado,2027,169.77386096642,876.5367563292273
Colorado,2028,300.1045237935401,1539.7859974405183
Connecticut,2024,21.646434945628602,122.81665514405013
Connecticut,2025,40.48017314312681,215.74835792996583
Connecticut,2026,73.06118840664824,378.99871067879064
Connecticut,2027,129.79163559798153,665.7757401927142
Connecticut,2028,228.94467015953688,1169.548401458353
Delaware,2024,16.802393552214763,88.64512980132064
Delaware,2025,30.58117835305219,155.72025773452376
Delaware,2026,54.28230763154235,273.5491360129437
Delaware,2027,95.41372374986058,480.5356149679558
Delaware,2028,167.16440530518724,844.1425939715091
Florida,2024,16.169094952051186,74.87653342814825
Florida,2025,27.911107548377473,131.53337481519733
Florida,2026,48.03429979475035,231.06075960203626
Florida,2027,82.88046055783418,405.8975503584617
Florida,2028,143.59002134275826,713.0281302232333
Georgia,2024,14.454531386726867,79.28839880474906
Georgia,2025,26.84918601899913,139.28356724059176
Georgia,2026,48.11885507998859,244.6752916657774
Georgia,2027,84.9789974961975,429.81379309680915
Georgia,2028,149.22645983081915,755.0410810937889
Hawaii,2024,22.83903782539256,104.81129428964145
Hawaii,2025,39.00926425113835,184.11887710980406
Hawaii,2026,66.91136776275836,323.436144338554
Hawaii,2027,115.42251011967844,568.1706357692073
Hawaii,2028,200.1369368289796,998.0884233287123
Idaho,2024,9.408692149959855,46.07520450036814
Idaho,2025,16.890158164545596,80.93893862019394
Idaho,2026,29.528975202877447,142.18302134526994
Idaho,2027,51.22755708610424,249.76867628241516
Idaho,2028,88.84115787474867,438.7611900606531
Illinois,2024,11.100581225501479,48.772236002775664
Illinois,2025,18.981015925776774,85.6767334839877
Illinois,2026,32.320689364260865,150.50576438751972
Illinois,2027,55.250444798828894,264.3889909517275
Illinois,2028,95.02681147388451,464.44426112804126
Indiana,2024,8.42016318266066,39.141339224329506
Indiana,2025,14.875910693973402,68.75842413167982
Indiana,2026,25.712878605898297,120.7858745449698
Indiana,2027,44.246205827174805,212.18094617254803
Indiana,2028,76.29949808156566,372.73194475994825
Iowa,2024,8.497672838895873,46.66748962165231
Iowa,2025,16.066754892145344,81.97938824157089
Iowa,2026,28.859484414479105,144.0107481878358
Iowa,2027,50.828439771477754,252.97938955713835
Iowa,2028,88.91699758387175,444.40135438521486
Kansas,2024,10.839790199847714,71.18338326296326
Kansas,2025,22.035479452845344,125.0457279826656
Kansas,2026,41.198961763430425,219.66410375510262
Kansas,2027,74.35922868343216,385.87738467340074
Kansas,2028,132.10722999694264,677.8593018019442
Kentucky,2024,6.922013251017073,32.77402182006551
Kentucky,2025,12.435851016789297,57.57314740534648
Kentucky,2026,21.61819414936118,101.13703226158192
Kentucky,2027,37.24489133160151,177.66441050485943
Kentucky,2028,64.19219321932383,312.097775208591
Louisiana,2024,5.973880095575115,27.146030880942998
Louisiana,2025,10.655175806851478,47.68662344704252
Louisiana,2026,18.375017123570707,83.76967026057665
Louisiana,2027,31.432580951139233,147.15568325693536
Louisiana,2028,53.86676283959574,258.5040032681922
Maine,2024,20.415376869506776,136.05086534822271
Maine,2025,41.20683615650089,238.99650059189827
Maine,2026,77.22692171426056,419.83803005571554
Maine,2027,139.99868120087962,737.5169554555354
Maine,2028,249.76430902937642,1295.5740562907522
Maryland,2024,23.94421214355129,141.8997869924559
Maryland,2025,45.60089550338914,249.2711269357299
Maryland,2026,83.14089440464907,437.88715995121436
Maryland,2027,148.58264036558967,769.2233240457825
Maryland,2028,263.03855386303303,1351.2716890853012
Massachusetts,2024,27.39713260323961,174.80769778911466
Massachusetts,2025,53.92184435192354,307.0794731161207
Massachusetts,2026,100.01336364769472,539.4373588915616
Massachusetts,2027,180.47731063468075,947.6135321421043
Massachusetts,2028,321.3222769854346,1664.6444512927148
Michigan,2024,11.256234578939488,58.396812571647196
Michigan,2025,20.56042152703741,102.58394031248969
Michigan,2026,36.401158108843156,180.20615075737538
Michigan,2027,63.72445663101536,316.5627745616643
Michigan,2028,111.21882951242281,556.0963919211713
Minnesota,2024,12.127707504811866,60.91652712337665
Minnesota,2025,21.804632851448687,107.01024777339767
Minnesota,2026,38.30014786967979,187.9817131618716
Minnesota,2027,66.77367615752205,330.2218733116216
Minnesota,2028,116.28862338932535,580.0909236290257
Mississippi,2024,5.848748556404237,32.88714622147076
Mississippi,2025,11.379320681307153,57.77186966998044
Mississippi,2026,20.591060563849325,101.48612174157643
Mississippi,2027,36.2693981406854,178.277645590859
Mississippi,2028,63.30741517061557,313.17502700863605
Missouri,2024,11.85232817043726,76.48599357224138
Missouri,2025,23.832426305544004,134.36066548546148
Missouri,2026,44.373856322506775,236.02737686404163
Missouri,2027,79.95472291293318,414.6222588883226
Missouri,2028,141.95491952916876,728.3545656853235
Montana,2024,10.13545339739323,53.881683119410305
Montana,2025,18.77172257676316,94.65234696288424
Montana,2026,33.439147919419,166.272957096153
Montana,2027,58.70132555460352,292.08674849172155
Montana,2028,102.57498879902253,513.1000863545723
Nebraska,2024,9.139025095040457,48.956834561312185
Nebraska,2025,17.04676724211931,86.00101227039319
Nebraska,2026,30.4344108585912,151.07541526749563
Nebraska,2027,53.44843407523113,265.38967967594016
Nebraska,2028,93.37283145171793,466.2021411875062
Nevada,2024,21.901388614668402,108.5908369327158
Nevada,2025,38.63071832099097,190.75828703358977
Nevada,2026,67.51498190329698,335.09939788507495
Nevada,2027,117.75145558621966,588.6591256880329
Nevada,2028,205.49672041787153,1034.0799429745348
New Hampshire,2024,14.513568181051376,74.79195950824489
New Hampshire,2025,26.243069857265183,131.38480633056105
New Hampshire,2026,46.344284543124836,230.79977377268898
New Hampshire,2027,81.1518379806267,405.4390843299037
New Hampshire,2028,141.79357842727006,712.2227566139942
New Jersey,2024,18.034259226294303,69.72636213377305
New Jersey,2025,29.014413063996994,122.48622238691918
New Jersey,2026,47.79927073388416,215.16789655301616
New Jersey,2027,80.29441903128063,377.9790314767168
New Jersey,2028,136.87402628221528,663.9845001267414
New Mexico,2024,11.019117470358648,57.55735000807426
New Mexico,2025,20.199123712604482,101.1092814445852
New Mexico,2026,35.821715749252675,177.61566147166658
New Mexico,2027,62.76180625005416,312.01213923479173
New Mexico,2028,109.58300902062152,548.1024264597335
New York,2024,16.30795069850736,98.9171077500626
New York,2025,31.606257068886475,173.76473527329557
New York,2026,57.976684604060715,305.24733194677725
New York,2027,103.79717741991195,536.2188911005433
New York,2028,183.7850202667088,941.9597456898656
North Carolina,2024,12.967580279876472,67.86980276777885
North Carolina,2025,23.67309548265994,119.22485987755148
North Carolina,2026,41.97550364731956,209.43875822739452
North Carolina,2027,73.62314727676292,367.9148249189274
North Carolina,2028,128.71396833469794,646.3050083984875
North Dakota,2024,7.584863104109762,46.53006366118413
North Dakota,2025,15.1336158972899,81.73797615236211
North Dakota,2026,27.890633614309117,143.58666676524578
North Dakota,2027,49.79685510718898,252.23441836047868
North Dakota,2028,87.77521021006974,443.09268568555086
Ohio,2024,10.453880045349859,54.27180126427126
Ohio,2025,19.147858941265504,95.33765588172523
Ohio,2026,33.91666122312183,167.47681885041823
Ohio,2027,59.356924706181076,294.20153655815096
Ohio,2028,103.54342605227671,516.8150715263056
Oklahoma,2024,11.102699659804898,58.917593574322744
Oklahoma,2025,20.483925126727712,103.49878077966076
Oklahoma,2026,36.45999297866399,181.81322374213093
Oklahoma,2027,64.02102390995442,319.3858717802618
Oklahoma,2028,111.93301422959804,561.0556426716064
Oregon,2024,25.343139794470492,131.74036368620273
Oregon,2025,45.49695166013356,231.4243707830834
Oregon,2026,80.39690099590369,406.53629528392713
Oregon,2027,141.20095056346761,714.1501943980282
Oregon,2028,247.5099610185249,1254.526363513367
Pennsylvania,2024,11.4845351562597,57.93168528290021
Pennsylvania,2025,20.719916373722267,101.7668650659942
Pennsylvania,2026,36.43978397905784,178.7708190221977
Pennsylvania,2027,63.55075557238211,314.041370077996
Pennsylvania,2028,110.67214006561429,551.6671158071894
Rhode Island,2024,18.10609996139504,130.06723150302398
Rhode Island,2025,38.0124073587151,228.4852293393011
Rhode Island,2026,72.47757297103416,401.3731931014406
Rhode Island,2027,132.51785092896404,705.0803266639691
Rhode Island,2028,237.4851665591721,1238.5935971636393
South Carolina,2024,8.93268581601329,44.79845971903128
South Carolina,2025,16.225284482584645,78.69611911215569
South Carolina,2026,28.532323879253006,138.24312715563417
South Carolina,2027,49.6480818669518,242.84758157555515
South Carolina,2028,86.23785328754326,426.60310925042876
South Dakota,2024,7.656112100950825,44.38040585366279
South Dakota,2025,14.886868552826277,77.96173634563483
South Dakota,2026,27.08527157394977,136.95305883564038
South Dakota,2027,48.01019127829214,240.5813570042242
South Dakota,2028,84.26472277384224,422.62210008362047
Tennessee,2024,10.229419685507978,54.678580974158685
Tennessee,2025,18.983573023610933,96.05223367530301
Tennessee,2026,33.85808195474894,168.73209636466746
Tennessee,2027,59.484037158349324,296.4066451578603
Tennessee,2028,103.99673761596571,520.6887200871342
Texas,2024,11.442265730336441,49.37651267808651
Texas,2025,19.412090365703854,86.73824831095301
Texas,2026,32.90879243918027,152.37049584896087
Texas,2027,56.114395397097965,267.66470913762345
Texas,2028,96.37533519565979,470.19861764279455
Utah,2024,19.45362573335545,111.47478678378538
Utah,2025,36.60957473598537,195.82443578996853
Utah,2026,66.24326772207696,343.99895042488055
Utah,2027,117.79624170425897,604.2927044117206
Utah,2028,207.85416337749612,1061.5429848091167
Vermont,2024,33.86048065871377,264.8377164773989
Vermont,2025,73.703226770959,465.23252388614446
Vermont,2026,143.19014013134702,817.2601099282737
Vermont,2027,264.7520786459918,1435.6564792607478
Vermont,2028,477.79266191785655,2521.9749519210695
Virginia,2024,17.251065532236986,91.80868519731531
Virginia,2025,31.497831347504324,161.27758121891438
Virginia,2026,56.02104892735092,283.3115205595399
Virginia,2027,98.5966030649228,497.68490496399625
Virginia,2028,172.88415884071063,874.2682406272572
Washington,2024,27.453062041691066,130.05134756801007
Washington,2025,47.35701974725914,228.45732650403258
Washington,2026,81.8180577261026,401.3241770222801
Washington,2027,141.85108479331694,704.9942215784769
Washington,2028,246.80566299989482,1238.4423389260446
West Virginia,2024,7.368884146536725,44.25174363000013
West Virginia,2025,14.580607747580896,77.73571925169688
West Virginia,2026,26.74557632686294,136.55602134244353
West Virginia,2027,47.61176274363012,239.8838930723708
West Virginia,2028,83.76311922325661,421.39688598023804
Wisconsin,2024,8.588304054586185,41.41074575911532
Wisconsin,2025,15.379762195037133,72.7450229588609
Wisconsin,2026,26.806462964376614,127.78901389672176
Wisconsin,2027,46.37575632115254,224.48315236537323
Wisconsin,2028,80.24889941208421,394.34286375057565
Wyoming,2024,10.706329114191016,75.66328128877464
Wyoming,2025,22.56472439260426,132.91543133543047
Wyoming,2026,42.892362628181885,233.48857710331058
Wyoming,2027,78.09766756763625,410.16242500953575
Wyoming,2028,139.43812622403522,720.5201084216882
