state,year,ev_count,ports_total,population,gas_real_2023,ev_per_1000,ports_per_100k
Alabama,2020,2900,598.0,5033094.0,2.5606,0.5761863378669264,11.881359656704207
Alaska,2020,900,68.0,733017.0,2.5606,1.2278023565619895,9.276728916246144
Arizona,2020,28800,1788.0,7187135.0,2.5606,4.007160015778192,24.87778509795628
Arkansas,2020,1300,350.0,3014546.0,2.5606,0.43124238276675825,11.610371843720415
California,2020,425300,34924.0,39521958.0,2.5606,10.761106522100954,88.36606728846785
Colorado,2020,24700,3253.0,5787129.0,2.5606,4.2680921748936305,56.21094674060315
Connecticut,2020,9000,1240.0,3579918.0,2.5606,2.514024064238343,34.63766488506161
Delaware,2020,1900,206.0,991928.0,2.5606,1.9154616060843126,20.767636360703598
District of Columbia,2020,2400,,670917.0,2.5606,3.5771936021892428,
Florida,2020,58200,5564.0,21592035.0,2.5606,2.6954383873497796,25.76876149005872
Georgia,2020,23500,3661.0,10732888.0,2.5606,2.1895318389607716,34.11011090398036
Hawaii,2020,10700,759.0,1451252.0,2.5606,7.3729441888796705,52.299669526725886
Idaho,2020,2300,281.0,1849415.0,2.5606,1.2436365012720239,15.193993776410379
Illinois,2020,26000,2360.0,12799088.0,2.5606,2.031394736875002,18.438813765480788
Indiana,2020,7000,784.0,6790497.0,2.5606,1.0308523809082015,11.545546666171857
Iowa,2020,2300,487.0,3191141.0,2.5606,0.7207453384228399,15.260999122257523
Kansas,2020,3100,950.0,2938172.0,2.5606,1.0550777830569482,32.333028835616155
Kentucky,2020,2600,383.0,4508318.0,2.5606,0.5767117581324122,8.495407821719764
Louisiana,2020,2000,360.0,4652301.0,2.5606,0.4298947982944354,7.738106369299837
Maine,2020,1900,518.0,1364571.0,2.5606,1.392378996768948,37.9606484382271
Maryland,2020,18000,2776.0,6177935.0,2.5606,2.9135949148056755,44.93410824166975
Massachusetts,2020,21000,3415.0,6994598.0,2.5606,3.0023169308657907,48.823391994793695
Michigan,2020,10600,1605.0,10072703.0,2.5606,1.0523491062925214,15.93415392074997
Minnesota,2020,10400,1218.0,5710735.0,2.5606,1.8211316056514617,21.328252843110388
Mississippi,2020,800,344.0,2958536.0,2.5606,0.2704040106322857,11.627372457188285
Missouri,2020,6700,2060.0,6154744.0,2.5606,1.0885911745476335,33.47011670997202
Montana,2020,900,188.0,1087230.0,2.5606,0.8277917276013356,17.291649421005676
Nebraska,2020,1800,287.0,1963387.0,2.5606,0.9167830896303174,14.617597040216728
Nevada,2020,11000,1166.0,3116967.0,2.5606,3.529071690524795,37.40815991956283
New Hampshire,2020,2700,291.0,1378756.0,2.5606,1.9582870355595912,21.105982494364486
New Jersey,2020,30400,1652.0,9272794.0,2.5606,3.2784077808694985,17.815558072356616
New Mexico,2020,2600,376.0,2118606.0,2.5606,1.2272220507258076,17.74751888741937
New York,2020,32600,6134.0,20105171.0,2.5606,1.6214734010469247,30.50956393258232
North Carolina,2020,16200,2267.0,10449652.0,2.5606,1.550290861360742,21.69450236237532
North Dakota,2020,200,101.0,779563.0,2.5606,0.25655399242909166,12.95597661766913
Ohio,2020,14500,1845.0,11798905.0,2.5606,1.228927599637424,15.637044285041705
